files compared: 311; identical 311; different 0; one side only 0
scoped oracle (pages 1-5) equals the whole-document verdict cut to them: 9/9 []

CPU seconds, before -> after (wall in brackets for the totals)
| input | pages | extract_all | extract_1_5 | oracle_all | strip | strip_wt | verify_self |
| arxiv-babeldoc | 10 | 1.12 → 0.59 | 1.04 → 0.32 | 0.94 → 0.41 | 0.10 → 0.10 |  | 2.68 → 1.79 |
| cajc-fl100 | 3 | 0.35 → 0.20 |  | 0.25 → 0.10 | 0.06 → 0.06 | 0.05 → 0.05 | 0.65 → 0.41 |
| cajc-fl300 | 4 | 0.62 → 0.42 |  | 0.41 → 0.21 | 0.10 → 0.11 | 0.10 → 0.10 | 1.11 → 0.83 |
| eu-gdpr | 88 | 8.56 → 3.89 | 6.94 → 1.22 | 6.86 → 2.18 | 1.00 → 1.02 |  | 14.90 → 7.03 |
| fda-3500 | 8 | 0.93 → 0.50 |  | 0.67 → 0.26 | 0.12 → 0.12 | 0.12 → 0.12 | 1.57 → 0.96 |
| irs-1040es | 16 | 1.74 → 0.90 | 1.50 → 0.51 | 1.36 → 0.54 | 0.26 → 0.27 | 0.26 → 0.27 | 3.00 → 1.60 |
| irs-i1040gi | 126 | 25.98 → 19.44 | 21.97 → 12.48 | 21.44 → 15.12 | 11.82 → 11.94 |  | 42.58 → 31.02 |
| irs-w4 | 5 | 0.82 → 0.55 |  | 0.64 → 0.38 | 0.24 → 0.25 | 0.24 → 0.25 | 1.32 → 0.87 |
| irs-w9 | 6 | 0.69 → 0.37 |  | 0.50 → 0.19 | 0.06 → 0.06 | 0.06 → 0.06 | 1.31 → 0.71 |
| medicare-handbook | 128 | 10.18 → 3.88 | 9.09 → 1.36 | 8.88 → 2.58 | 1.00 → 1.02 |  | 19.55 → 9.44 |
| opm-sf15 | 2 | 0.35 → 0.25 |  | 0.24 → 0.14 | 0.07 → 0.07 | 0.06 → 0.07 | 0.61 → 0.42 |
| rpi4-datasheet | 13 | 1.25 → 0.57 | 1.19 → 0.39 | 1.15 → 0.48 | 0.35 → 0.35 |  | 1.98 → 0.95 |
| state-ds11 | 6 | 5.93 → 5.60 |  | 5.34 → 4.98 | 4.65 → 4.62 | 4.66 → 4.63 | 6.93 → 6.39 |
| uscis-g28 | 4 | 0.42 → 0.22 |  | 0.34 → 0.14 | 0.08 → 0.07 | 0.07 → 0.07 | 0.74 → 0.42 |
| uscis-i864 | 12 | 1.12 → 0.51 | 1.04 → 0.35 | 0.95 → 0.34 | 0.18 → 0.18 | 0.19 → 0.18 | 1.98 → 1.02 |
| uscis-i9 | 4 | 0.55 → 0.34 |  | 0.41 → 0.20 | 0.10 → 0.10 | 0.10 → 0.11 | 1.00 → 0.66 |
| uscis-n400 | 14 | 1.52 → 0.80 | 1.38 → 0.55 | 1.22 → 0.51 | 0.28 → 0.29 | 0.28 → 0.28 | 2.80 → 1.64 |
| ar_source | 1 | 0.19 → 0.14 |  | 0.18 → 0.13 | 0.12 → 0.12 |  | 0.22 → 0.15 |
| choice_fields | 1 | 0.06 → 0.01 |  | 0.05 → 0.00 | 0.00 → 0.00 | 0.00 → 0.00 | 0.09 → 0.01 |
| colored | 1 | 0.07 → 0.01 |  | 0.06 → 0.01 | 0.01 → 0.01 |  | 0.10 → 0.02 |
| dense_table | 1 | 0.07 → 0.02 |  | 0.07 → 0.01 | 0.01 → 0.01 |  | 0.10 → 0.03 |
| encrypted | 1 | 0.16 → 0.11 |  | 0.10 → 0.04 | 0.02 → 0.02 |  | 0.23 → 0.15 |
| expansion | 1 | 0.07 → 0.01 |  | 0.06 → 0.01 | 0.01 → 0.01 |  | 0.09 → 0.02 |
| image_only | 1 | 0.01 → 0.01 |  | 0.00 → 0.00 | 0.00 → 0.00 |  | 0.03 → 0.02 |
| ja_source | 1 | 0.21 → 0.15 |  | 0.20 → 0.15 | 0.15 → 0.15 |  | 0.24 → 0.17 |
| multicolumn | 1 | 0.07 → 0.01 |  | 0.06 → 0.01 | 0.01 → 0.01 |  | 0.10 → 0.02 |
| nested_xobject | 1 | 0.06 → 0.01 |  | 0.06 → 0.01 | 0.00 → 0.00 | 0.00 → 0.00 | 0.09 → 0.02 |
| ocr_layer | 1 | 0.11 → 0.06 |  | 0.10 → 0.05 | 0.02 → 0.02 |  | 0.24 → 0.17 |
| pale_blank | 1 | 0.02 → 0.01 |  | 0.00 → 0.00 | 0.00 → 0.00 |  | 0.04 → 0.01 |
| rotated | 1 | 0.06 → 0.01 |  | 0.06 → 0.01 | 0.01 → 0.01 |  | 0.09 → 0.02 |
| rotated_text | 1 | 0.02 → 0.01 |  | 0.02 → 0.00 | 0.00 → 0.00 |  | 0.03 → 0.01 |
| rtl_source | 1 | 0.07 → 0.01 |  | 0.06 → 0.01 | 0.01 → 0.01 |  | 0.10 → 0.02 |
| xobject_text | 1 | 0.06 → 0.01 |  | 0.06 → 0.01 | 0.00 → 0.00 |  | 0.09 → 0.01 |
| synth40 | 40 | 2.86 → 0.77 | 2.61 → 0.22 | 2.54 → 0.47 | 0.13 → 0.13 |  | 5.14 → 1.77 |
| **total** | | 66.3 → 40.4 | 46.7 → 17.4 | 55.3 → 29.7 | 21.0 → 21.1 | 6.2 → 6.2 | 111.7 → 68.8 |
